region,day,month,number
Rural Town and Fringe,Tuesday,November,1.2173010954616588
Rural Town and Fringe,Wednesday,November,1.2198584507042254
Rural Town and Fringe,Thursday,November,1.1405804381846636
Rural Town and Fringe,Friday,November,1.2658908450704225
Rural Town and Fringe,Saturday,November,1.0894333333333333
Rural Town and Fringe,Sunday,November,0.7493050860719874
Rural Town and Fringe,Monday,December,0.893424428290171
Rural Town and Fringe,Tuesday,December,1.0270668635468725
Rural Town and Fringe,Wednesday,December,1.0963629410873843
Rural Town and Fringe,Thursday,December,1.0493406027563228
Rural Town and Fringe,Friday,December,1.088938361350901
Rural Town and Fringe,Saturday,December,1.0839886415265787
Rural Town and Fringe,Sunday,December,0.7647317128577918
