t,lf,lm,bl
753,0.0694603671947357,0.07141751418377468,0.055
754,0.06946094454550597,0.06698120160095278,0.055
755,0.06946093156275567,0.06687739883654989,0.055
756,0.06934552487163304,0.055003426598017664,0.055
757,0.06935513399727151,0.055003167571614456,0.055
758,0.06935513399727151,0.055003167571614456,0.055
759,0.06933199231482853,0.05500054526232507,0.055
760,0.06946319758702592,0.05501151121070764,0.055
761,0.06946240123483034,0.05501152147882318,0.055
762,0.06943766040929578,0.09300144821621104,0.055
763,0.06944030715264479,0.09433728188253768,0.055
764,0.06945016502598361,0.09721259689957347,0.055
765,0.06943467944935973,0.08489891456118609,0.055
766,0.06943477485621882,0.05591206217862202,0.055
767,0.06945766747319575,0.10282389436465764,0.055
768,0.2514602793493673,0.23700379863144783,0.237
769,0.25143141544577813,0.23700399205677372,0.237
770,0.251431271658254,0.23700405649577444,0.237
771,0.2514212942432315,0.23700405891096185,0.237
772,0.2513936679208641,0.23700406703431973,0.237
773,0.25139324498466414,0.23700394873236996,0.237
774,0.2514580626937315,0.23700387818037952,0.237
775,0.2514389165954698,0.23700372277365905,0.237
776,0.2513288066172952,0.23700217024085446,0.237
777,0.25140133155956934,0.23700215299490165,0.237
778,0.25138967162313725,0.23700212998920023,0.237
779,0.25135509277155355,0.23700212998606138,0.237
780,0.2514620916043856,0.23700205894466506,0.237
781,0.25144921156306554,0.23700212669644452,0.237
782,0.25144940408823563,0.23700210635744645,0.237
783,0.2514394966676124,0.23700106150802425,0.237
784,0.2514456997542565,0.23700108959457028,0.237
785,0.2514582357942949,0.23700111446954877,0.237
786,0.25145508853351994,0.23700113508172985,0.237
787,0.2514319764304867,0.23700319466523584,0.237
788,0.2513013079082605,0.23700338867265816,0.237
789,0.2513259758640483,0.23700338445745497,0.237
790,0.06946306912576868,0.05500721807320922,0.055
791,0.06946221437834145,0.055006085793408065,0.055
792,0.06946197978535075,0.05500758208245749,0.055
793,0.06941244947154486,0.05500716778897813,0.055
794,0.06940578237814271,0.05500593350352018,0.055
795,0.06940865404402705,0.05500536788139348,0.055
796,0.06946320036931182,0.05500562342648868,0.055
797,0.06945918990630923,0.055005628241809754,0.055
798,0.06946069976317078,0.05500487894217797,0.055
799,0.06945605588275004,0.0550053655305651,0.055
800,0.06944476100011776,0.05500537049092831,0.055
801,0.06941457324390352,0.05500535837941481,0.055
802,0.06941457324390352,0.05500535837941481,0.055
803,0.06938981623301216,0.05500534893139567,0.055
804,0.0694478067872922,0.05500542672716277,0.055
805,0.06944177694268627,0.055006199686813105,0.055
806,0.06941182654555296,0.05500663163645476,0.055
807,0.0693298667401193,0.05500908732025311,0.055
808,0.06945251640171525,0.05500913091811192,0.055
809,0.06945527813939015,0.05500912343035043,0.055
810,0.06936524268657174,0.0550059688243209,0.055
811,0.06936723051026537,0.055005819348674385,0.055
812,0.0693709848337051,0.05500598262021677,0.055
813,0.0694542911747019,0.05500580475962491,0.055
814,0.06945299833500672,0.05500586746634598,0.055
815,0.0694563722251887,0.05500574436278067,0.055
816,0.06938188384057183,0.05500594741154218,0.055
817,0.06936171612581997,0.055005908545468704,0.055
818,0.06946132041087402,0.055005918757019066,0.055
819,0.06942889249654194,0.055005633723865355,0.055
820,0.06943564778821847,0.05500548086487146,0.055
821,0.06937694887098447,0.05500559198729425,0.055
822,0.06939324498466415,0.055005501287129145,0.055
823,0.06946300158238844,0.055000178588011886,0.055
824,0.06946312579965061,0.055000177181883686,0.055
825,0.06946303524140951,0.05500017718661036,0.055
826,0.06942797695849204,0.0550053959688745,0.055
827,0.06942873954712613,0.055004710207802274,0.055
828,0.06938066343389682,0.0550046524933593,0.055
829,0.0693464761717873,0.055004599091737,0.055
830,0.06936536839707691,0.0550046011005111,0.055
831,0.06941658317508453,0.05500529627118575,0.055
832,0.06946011481312464,0.05500487492628874,0.055
833,0.0692885943591162,0.05500023195699976,0.055
834,0.06939044837531037,0.05500025094382073,0.055
835,0.0693931809245293,0.05500021950362863,0.055
836,0.06944878626272143,0.05500701940183833,0.055
837,0.069445783057563,0.05500703078041437,0.055
838,0.06930108321776347,0.20390415867148487,0.055
839,0.06940891139549249,0.22019940641308816,0.055
840,0.06946227330227188,0.2315360125507754,0.055
841,0.06942608671731228,0.28730113854099254,0.055
842,0.06944784021305492,0.28360916146836307,0.055
843,0.0694585362480499,0.29014509684811424,0.055
844,0.0693730744438861,0.23739874973347289,0.055
845,0.06939340014930352,0.22928103603233627,0.055
846,0.06940043849020386,0.2311827740711533,0.055
847,0.06939834582527449,0.2623425969052442,0.055
848,0.06920549598491864,0.2613517167590471,0.055
849,0.06928912576002402,0.26005098729146986,0.055
850,0.0692691162548195,0.25713727656607793,0.055
851,0.0694411645477121,0.43613388385607044,0.055
852,0.06944203468035516,0.446320090042013,0.055
853,0.06944940228005807,0.45579000118615565,0.055
854,0.06929793151274635,0.2806561812329704,0.055
855,0.06933740789686316,0.2886291447901401,0.055
856,0.06933409581973889,0.28866387338989347,0.055
857,0.0693642413121914,0.2914508503996135,0.055
858,0.06933580440217552,0.28808650910078915,0.055
859,0.06933523610461483,0.2883172137880757,0.055
860,0.06928736022493522,0.2884330368985448,0.055
861,0.06935448052357121,0.2878546651444476,0.055
862,0.06935439292194685,0.2875438922981197,0.055
863,0.06934058523548159,0.2881775578558121,0.055
864,0.2513811221329971,0.2370087046729267,0.237
865,0.2513391883437792,0.23700924702592419,0.237
866,0.2513614618990423,0.23700952956610322,0.237
867,0.2514062442394196,0.2370003393245413,0.237
868,0.25121585734385093,0.23700042251830347,0.237
869,0.25114440703917223,0.23700058812773883,0.237
870,0.2514538524867197,0.23700608722471733,0.237
871,0.2512994310756957,0.23700604193956662,0.237
872,0.2512939365577279,0.23700601050325018,0.237
873,0.2512586588351533,0.23700599480860715,0.237
874,0.2514408035851457,0.23700596234459428,0.237
875,0.2514306018744478,0.23700040104184028,0.237
876,0.25143084952722233,0.23700026060227766,0.237
877,0.2514382708379808,0.23700025015741505,0.237
878,0.2514504889156268,0.23700519282180502,0.237
879,0.2514399090179276,0.23700627625587278,0.237
880,0.2514371213918979,0.23700623633757817,0.237
881,0.25144439347321185,0.23700617177013664,0.237
882,0.25144494341641005,0.23700617110916514,0.237
883,0.2514398482320959,0.2370063667118267,0.237
884,0.2513849008198021,0.23700646038491213,0.237
885,0.25136080513776476,0.23700654366619198,0.237
886,0.06946254095128467,0.2397343973539833,0.055
887,0.06946093795879121,0.23948385204598283,0.055
888,0.06945141444050285,0.23581825605214735,0.055
889,0.06945277900697215,0.2366119244803114,0.055
890,0.06943655395494505,0.22737771256182698,0.055
891,0.0694625636863687,0.20355783200825303,0.055
892,0.06946182234210764,0.20352031182435784,0.055
893,0.06946184254119736,0.20588954026582137,0.055
894,0.06939617911098224,0.20790742565381398,0.055
895,0.06922288590944028,0.1941933536108598,0.055
896,0.0692017609189751,0.1942033000793437,0.055
897,0.06923091988689226,0.1995970310433487,0.055
898,0.06897155272171322,0.05500725083777706,0.055
899,0.06896413163460262,0.05500725093457858,0.055
900,0.06890826547866237,0.05500723839150776,0.055
901,0.06861284896559539,0.05500734077037947,0.055
902,0.06877392275555663,0.05500735197112469,0.055
903,0.06891606225845406,0.05500714795982998,0.055
904,0.06891606225845406,0.05500714795982998,0.055
905,0.06890329478422841,0.055007198856858126,0.055
906,0.06894729157850528,0.05500722957776288,0.055
907,0.0690120476081536,0.055006608389632825,0.055
908,0.0689780261277183,0.05500661673344249,0.055
909,0.0689780261277183,0.05500661673344249,0.055
910,0.06905884852000811,0.05500663144426143,0.055
911,0.06906589767792506,0.05500667327414884,0.055
912,0.06904306848509803,0.055006672000836865,0.055
913,0.06901981383822353,0.05500671735594391,0.055
914,0.06873097726894843,0.05500692909413492,0.055
915,0.06873097726894843,0.05500692909413492,0.055
916,0.0688128142882457,0.05500687214711239,0.055
917,0.06880623214697165,0.055006897718914746,0.055
918,0.06876927972631772,0.05500693819626392,0.055
919,0.06917321243698206,0.05500627076232392,0.055
920,0.069367395263609,0.05500589710683394,0.055
921,0.0693882908708056,0.05500591005499448,0.055
922,0.06918145366935766,0.055006443698518315,0.055
923,0.06885942746699165,0.05500696260020467,0.055
924,0.06923582759439181,0.05500725816716277,0.055
925,0.06921183911379285,0.0550072042027406,0.055
926,0.06917503802773811,0.05500722204042594,0.055
927,0.06915378522360968,0.05502737940637251,0.055
928,0.06931334649020789,0.055003484204070356,0.055
